,Dow,Tod,SpeedLike
834,6.0,52828,0
835,6.0,54028,0
836,6.0,55229,0
837,6.0,56429,0
838,6.0,57629,0
839,6.0,58830,0
840,6.0,60030,0
841,6.0,61230,0
842,6.0,62431,0
843,6.0,63631,0
844,6.0,64831,0
845,6.0,66032,0
846,6.0,67232,0
847,6.0,68432,0
848,6.0,69633,0
849,6.0,70833,0
850,6.0,72033,0
851,6.0,73234,0
852,6.0,74434,0
853,6.0,75634,0
854,6.0,76835,0
855,6.0,78035,0
856,6.0,79235,0
857,6.0,80436,0
858,6.0,81636,0
859,6.0,82836,0
860,6.0,84037,0
861,6.0,85237,0
862,0.0,37,0
863,0.0,1238,0
864,0.0,2438,0
865,0.0,3638,0
866,0.0,4839,0
867,0.0,6039,0
868,0.0,7239,0
869,0.0,8442,0
870,0.0,9642,0
871,0.0,10843,1
872,0.0,12043,0
873,0.0,13243,0
874,0.0,14444,0
875,0.0,15644,0
876,0.0,16844,0
877,0.0,18045,0
878,0.0,19245,0
879,0.0,20445,0
880,0.0,21645,0
881,0.0,22846,0
882,0.0,24046,0
883,0.0,25246,0
884,0.0,26446,0
885,0.0,27647,0
886,0.0,28847,1
887,0.0,30047,0
888,0.0,31248,0
889,0.0,32448,0
890,0.0,33648,0
891,5.0,44400,2
892,5.0,45600,17
893,5.0,46801,8
894,5.0,48001,4
895,5.0,49201,9
896,5.0,50402,7
897,5.0,51602,7
898,5.0,52802,6
899,5.0,54003,5
900,5.0,55203,6
901,5.0,56403,2
902,5.0,57603,2
903,5.0,58804,4
904,5.0,60004,5
905,5.0,61204,4
906,5.0,62405,3
907,5.0,63605,1
908,5.0,64806,3
909,5.0,66006,4
910,5.0,67206,3
911,5.0,68406,4
912,5.0,69607,3
913,5.0,70807,2
914,5.0,72008,5
915,5.0,73208,2
916,5.0,74408,4
917,5.0,75609,1
918,5.0,76809,1
919,5.0,78009,1
920,5.0,79210,0
921,5.0,80410,1
922,5.0,81610,1
923,5.0,82811,0
924,5.0,84011,0
925,5.0,85211,0
926,6.0,12,0
927,6.0,1212,0
928,6.0,2413,0
929,6.0,3613,0
930,6.0,4813,0
931,6.0,6014,0
932,6.0,7214,0
933,6.0,8415,0
934,6.0,9615,0
935,6.0,10815,0
936,6.0,12015,0
937,6.0,13216,0
938,6.0,14416,0
939,6.0,15616,0
940,6.0,16817,0
941,6.0,18017,0
942,6.0,19218,0
943,6.0,20418,0
944,6.0,21618,1
945,6.0,22819,0
946,6.0,24019,0
947,6.0,25219,0
948,6.0,26420,0
949,6.0,27620,0
950,6.0,28821,0
951,6.0,30021,0
952,6.0,31221,0
953,6.0,32422,0
954,6.0,33622,0
955,6.0,34822,0
956,6.0,36023,0
957,6.0,37223,0
958,6.0,38424,0
959,6.0,39624,1
960,6.0,40824,0
961,6.0,42025,1
962,6.0,43225,0
963,6.0,44425,0
964,6.0,45626,0
965,6.0,46826,1
966,6.0,48026,1
967,6.0,49227,0
968,6.0,50427,0
969,6.0,51628,0
970,6.0,52828,0
971,6.0,54028,0
972,6.0,55229,0
973,6.0,56429,1
974,6.0,57629,1
975,6.0,58830,0
976,6.0,60030,0
977,6.0,61230,0
978,6.0,62431,0
979,6.0,63631,0
980,6.0,64831,0
981,6.0,66032,0
982,6.0,67232,0
983,6.0,68432,0
984,6.0,69633,0
985,6.0,70833,-1
986,6.0,72033,0
987,6.0,73234,0
988,6.0,74434,0
989,6.0,75634,0
990,6.0,76835,0
991,6.0,78035,0
992,6.0,79235,0
993,6.0,80436,0
994,6.0,81636,0
995,6.0,82836,0
996,6.0,84037,0
997,6.0,85237,0
998,0.0,37,0
999,0.0,1238,0
1000,0.0,2438,0
1001,0.0,3638,0
1002,0.0,4839,0
1003,0.0,6039,0
1004,0.0,7239,0
1005,0.0,8442,0
1006,0.0,9642,0
1007,0.0,10843,1
1008,0.0,12043,0
1009,0.0,13243,0
1010,0.0,14444,0
1011,0.0,15644,0
1012,0.0,16844,0
1013,0.0,18045,0
1014,0.0,19245,0
1015,0.0,20445,0
1016,0.0,21645,0
1017,0.0,22846,0
